Feature,Data_Type,Unique_Values,Missing_Rate,Constant_Rate,Full_Sample_AUC,Mean_Period_AUC,Median_Period_AUC,Std_Period_AUC,Min_Period_AUC,Max_Period_AUC,Periods_AUC_GE_0.55,Stability_Score,Target_Correlation,Leakage_Name_Flag,Classification
Momentum_20,float64,1862,0.0,0.0010735373054213634,0.5044090359015733,0.5136268767345973,0.5111185983827493,0.010566906390491057,0.5043183940242764,0.5340817501439263,0,0.14922405374314363,0.005813065958859401,False,REVIEW
Return_20,float64,1862,0.0,0.0010735373054213634,0.5044090359015733,0.5136268767345973,0.5111185983827493,0.010566906390491057,0.5043183940242764,0.5340817501439263,0,0.14922405374314363,0.005813065958859401,False,REVIEW
News_Activity_Surge,int64,2,0.0,0.9506172839506173,0.5082441076470927,0.5134812187228058,0.5134812187228058,0.009818966291070264,0.5036622524317356,0.5233001850138761,0,0.1490153917456882,-0.03804895564333113,False,REVIEW
Daily_Return,float64,1856,0.0,0.0042941492216854536,0.5118728750072034,0.5133341304506912,0.5115344588344126,0.009926618045804315,0.5037100949094047,0.5303820461736787,0,0.14837321277986285,0.010487254518142669,False,REVIEW
Daily_Return_Pct,float64,1856,0.0,0.0042941492216854536,0.5118728750072034,0.5133341304506912,0.5115344588344126,0.009926618045804315,0.5037100949094047,0.5303820461736787,0,0.14837321277986285,0.01048725451814279,False,REVIEW
Return_Mean_20,float64,1862,0.0,0.0010735373054213634,0.5045669336714113,0.5132722022986494,0.5111771944216571,0.009456712010637382,0.5051937441643324,0.5315198618307426,0,0.1483604531892793,0.007455679903078466,False,REVIEW
News_Sentiment_Abs,float64,117,0.0,0.9377348362855609,0.5073163141819859,0.5123462711101581,0.5123462711101581,0.0032931830989075817,0.5090530880112505,0.5156394542090657,0,0.1477384928911785,-0.03411266573538672,False,REVIEW
News_Sentiment_Lag1_V4,float64,117,0.0,0.9377348362855609,0.5041479859390307,0.5123376804009964,0.5123376804009964,0.00348967852592319,0.5088480018750732,0.5158273589269196,0,0.14760588234102387,0.007115135264387823,False,REVIEW
Price_Change,float64,1501,0.0,0.0042941492216854536,0.5110292168501124,0.5130675671412118,0.5109851988899167,0.009957919763980493,0.5033390903857224,0.5302941521153169,0,0.14729130868285714,0.01581324830849169,False,REVIEW
Return_1,float64,1856,0.0,0.0042941492216854536,0.5111755892352907,0.5125841011526717,0.5115344588344126,0.008672661015745037,0.5037100949094047,0.5266318996835814,0,0.14600007410281463,0.009283171843482372,False,REVIEW
Near_20D_Low,int64,2,0.0,0.8878153515834675,0.5051218809427764,0.5124809898650028,0.5064754856614246,0.010884728952378495,0.5008196721311475,0.5287267080745341,0,0.14448159498382238,-0.016228966534770482,False,REVIEW
Momentum_Acceleration_5,float64,1863,0.0,0.0005367686527106817,0.500764133002939,0.5114783601404858,0.5061858076563959,0.00865820937415808,0.5040471785383903,0.527481542247744,0,0.14158433587486416,-0.0006589004921160666,False,REVIEW
Near_50D_High,int64,2,0.0,0.8851315083199142,0.5067135365642828,0.5102287064729205,0.5095197008915732,0.0041437782783858715,0.5056984647837807,0.5169981498612396,0,0.1388429367524892,-0.021054087586860188,False,REVIEW
News_Sentiment,float64,117,0.0,0.9377348362855609,0.5031694807814211,0.5107082313097338,0.5107082313097338,0.010679322891602283,0.5000289084181314,0.521387554201336,0,0.13749326379313365,0.01216242076341388,False,REVIEW
News_Sentiment_MA10,float64,180,0.0,0.7702630166398282,0.5062651991010201,0.5103131171284949,0.5103131171284949,0.009257959866700194,0.5010551572617947,0.5195710769951951,0,0.1366234885806296,-0.011203511625179281,False,REVIEW
News_Volume_Interaction,float64,116,0.0,0.9382716049382716,0.5026318215870453,0.5091483065744755,0.5091483065744755,0.009148306574475573,0.5,0.5182966131489511,0,0.1320190730106645,0.024358037959449328,False,REVIEW
RSI_Overbought,int64,2,0.0,0.8582930756843801,0.5054526594825103,0.5088330225040101,0.5075442400093755,0.007324371288145576,0.5009250693802034,0.5194420477423065,0,0.13166990437196807,-0.015634516776740888,False,REVIEW
News_Sentiment_Change,float64,190,0.0,0.8985507246376812,0.5043439174782458,0.5084523227719168,0.5084523227719168,0.004614282223457944,0.5038380405484588,0.5130666049953747,0,0.1315021499759381,0.002016032873444781,False,REVIEW
News_Sentiment_MA5,float64,175,0.0,0.8287707997852926,0.500325592116637,0.5079660613612733,0.5079660613612733,0.004435650017080073,0.5035304113441932,0.5124017113783533,0,0.129646420436553,-0.0037869742545695415,False,REVIEW
News_Sentiment_MA5_Trading,float64,175,0.0,0.8287707997852926,0.500325592116637,0.5079660613612733,0.5079660613612733,0.004435650017080073,0.5035304113441932,0.5124017113783533,0,0.129646420436553,-0.0037869742545695415,False,REVIEW
News_Momentum_Interaction,float64,117,0.0,0.9377348362855609,0.5021840603930157,0.5069656041251611,0.5069656041251611,0.001530821516465386,0.5054347826086958,0.5084964256416266,0,0.127097005742412,-0.024523462015844075,False,REVIEW
News_Return_Interaction,float64,116,0.0,0.9382716049382716,0.5025384659713017,0.5067422456869575,0.5067422456869575,0.0018567230227578002,0.5048855226641997,0.5085989687097153,0,0.1260406212364512,-0.006472778353280404,False,REVIEW
News_Negative,int64,2,0.0,0.9785292538915727,0.5052181179046851,0.5066408324627043,0.5066408324627043,0.0013378909415510676,0.5053029415211532,0.5079787234042553,0,0.12589438438004147,-0.03599919912367346,False,REVIEW
Volume_Surge,int64,2,0.0,0.8781535158346753,0.503534259205901,0.5065696414820189,0.5067645698427382,0.005906051585441104,0.5000732450486347,0.5169833045480714,0,0.12332554013535481,0.010804286721397797,False,REVIEW
