Date,Equity,Position,Probability,Running_Max,Drawdown,Model,Threshold
2024-12-02,112031.98052943204,0,0.3055686056613922,112290.59491832886,-0.0023030814743204564,XGBoost,0.5
2024-12-03,112031.98052943204,0,0.3819903135299682,112290.59491832886,-0.0023030814743204564,XGBoost,0.5
2024-12-04,112031.98052943204,0,0.4721872210502624,112290.59491832886,-0.0023030814743204564,XGBoost,0.5
2024-12-05,112031.98052943204,0,0.436297208070755,112290.59491832886,-0.0023030814743204564,XGBoost,0.5
2024-12-06,112031.98052943204,0,0.3573099076747894,112290.59491832886,-0.0023030814743204564,XGBoost,0.5
2024-12-09,112031.98052943204,0,0.4462079703807831,112290.59491832886,-0.0023030814743204564,XGBoost,0.5
2024-12-10,112031.98052943204,0,0.3232079446315765,112290.59491832886,-0.0023030814743204564,XGBoost,0.5
2024-12-11,112031.98052943204,0,0.3232079446315765,112290.59491832886,-0.0023030814743204564,XGBoost,0.5
2024-12-12,112031.98052943204,0,0.4023072421550751,112290.59491832886,-0.0023030814743204564,XGBoost,0.5
2024-12-13,112031.98052943204,0,0.4300086498260498,112290.59491832886,-0.0023030814743204564,XGBoost,0.5
2024-12-16,112031.98052943204,0,0.3563823699951172,112290.59491832886,-0.0023030814743204564,XGBoost,0.5
2024-12-17,112031.98052943204,0,0.415903240442276,112290.59491832886,-0.0023030814743204564,XGBoost,0.5
2024-12-18,112031.98052943204,0,0.3719558715820312,112290.59491832886,-0.0023030814743204564,XGBoost,0.5
2024-12-19,112031.98052943204,0,0.3065764605998993,112290.59491832886,-0.0023030814743204564,XGBoost,0.5
2024-12-20,111541.56154712403,1,0.568117082118988,112290.59491832886,-0.006670490718742927,XGBoost,0.5
2024-12-23,112110.23215802963,1,0.5576220750808716,112290.59491832886,-0.0016062143087799408,XGBoost,0.5
2024-12-24,111831.26685926694,1,0.5937625169754028,112290.59491832886,-0.004090530105357426,XGBoost,0.5
2024-12-26,111717.26554650905,1,0.5832534432411194,112290.59491832886,-0.0051057648437681236,XGBoost,0.5
2024-12-27,111554.97346627203,1,0.5656948685646057,112290.59491832886,-0.006551051337753244,XGBoost,0.5
2024-12-30,109838.25436411824,1,0.5315733551979065,112290.59491832886,-0.021839233784398893,XGBoost,0.5
2024-12-31,110311.69903931538,1,0.6027769446372986,112290.59491832886,-0.017622988643463566,XGBoost,0.5
2025-01-01,110146.23149075641,0,0.3396520018577575,112290.59491832886,-0.01909655416049838,XGBoost,0.5
2025-01-02,110146.23149075641,0,0.4462629556655884,112290.59491832886,-0.01909655416049838,XGBoost,0.5
2025-01-03,110146.23149075641,0,0.3802525699138641,112290.59491832886,-0.01909655416049838,XGBoost,0.5
2025-01-06,108186.93442381345,1,0.6027769446372986,112290.59491832886,-0.03654500626254664,XGBoost,0.5
2025-01-07,110338.15391953422,1,0.589745819568634,112290.59491832886,-0.017387395624849034,XGBoost,0.5
2025-01-08,110172.64668865492,0,0.4721475541591644,112290.59491832886,-0.01886131453141171,XGBoost,0.5
2025-01-09,116194.08297759971,1,0.5819497108459473,116194.08297759971,0.0,XGBoost,0.5
2025-01-10,116887.33305053982,1,0.5834248661994934,116887.33305053982,0.0,XGBoost,0.5
2025-01-13,115306.07328649335,1,0.5351479053497314,116887.33305053982,-0.013528067779275621,XGBoost,0.5
2025-01-14,115756.89465217973,1,0.6169790029525757,116887.33305053982,-0.009671179663850338,XGBoost,0.5
2025-01-15,114577.41721044197,1,0.6325839757919312,116887.33305053982,-0.019761900454167147,XGBoost,0.5
2025-01-16,112343.77989320032,1,0.6367969512939453,116887.33305053982,-0.038871219308040494,XGBoost,0.5
2025-01-17,111077.15074771098,1,0.5152623057365417,116887.33305053982,-0.04970754444638259,XGBoost,0.5
2025-01-20,109934.45591363824,1,0.6982356905937195,116887.33305053982,-0.059483580944526215,XGBoost,0.5
2025-01-21,113223.62306067397,1,0.6746646165847778,116887.33305053982,-0.031343943729828516,XGBoost,0.5
2025-01-22,113053.78762608297,0,0.4914069771766662,116887.33305053982,-0.03279692781423371,XGBoost,0.5
2025-01-23,113053.78762608297,0,0.4914069771766662,116887.33305053982,-0.03279692781423371,XGBoost,0.5
2025-01-24,113053.78762608297,0,0.4914069771766662,116887.33305053982,-0.03279692781423371,XGBoost,0.5
2025-01-27,112193.12048304128,1,0.5639668703079224,116887.33305053982,-0.04016014776784116,XGBoost,0.5
2025-01-28,113845.34016899717,1,0.5229705572128296,116887.33305053982,-0.026025000332819292,XGBoost,0.5
2025-01-29,113852.28229700294,1,0.592658281326294,116887.33305053982,-0.025965608713346078,XGBoost,0.5
2025-01-30,114195.22613225768,1,0.592658281326294,116887.33305053982,-0.023031639511512547,XGBoost,0.5
2025-01-31,113105.3120353488,1,0.5554901361465454,116887.33305053982,-0.03235612376882391,XGBoost,0.5
2025-02-01,112980.3537312446,1,0.7181596755981445,116887.33305053982,-0.03342517291934377,XGBoost,0.5
2025-02-03,114046.66188116504,1,0.7153918743133545,116887.33305053982,-0.024302643368092958,XGBoost,0.5
2025-02-04,113603.76224970196,1,0.5213248133659363,116887.33305053982,-0.028091759090936752,XGBoost,0.5
2025-02-05,113371.89246253986,1,0.6626167893409729,116887.33305053982,-0.03007546238119696,XGBoost,0.5
2025-02-06,111890.43963433574,1,0.6966712474822998,116887.33305053982,-0.04274965717665513,XGBoost,0.5
2025-02-07,112100.09325599494,1,0.6849414706230164,116887.33305053982,-0.040956018668635075,XGBoost,0.5
2025-02-10,110061.88718526404,1,0.6849414706230164,116887.33305053982,-0.05839337494615082,XGBoost,0.5
