Regime_Filter,Threshold,Holding_Period,Total_Return,CAGR,Sharpe,Sortino,Max_Drawdown,Win_Rate,Profit_Factor,Trades,Exposure,Buy_Hold_Return,Excess_Return
Exclude_Best_Regime,0.75,5,-0.10728646509786366,-0.03423395058439893,-0.29745436494992455,-0.2129556896629548,-0.27358257824217536,0.5365853658536586,0.8375640321490713,41,0.30625,-0.3124085033541204,0.20512203825625674
Exclude_Best_Regime,0.75,10,-0.21351352509434307,-0.0710673477580066,-0.5906023452062831,-0.4978261983806644,-0.36309064215833264,0.5357142857142857,0.6122184314402369,28,0.38375,-0.3124085033541204,0.09889497825977733
Exclude_Best_Regime,0.75,15,-0.17347653855456313,-0.05680192716333898,-0.38055343522480384,-0.3303047051525104,-0.3413379517664621,0.5714285714285714,0.707245665047482,21,0.4175,-0.3124085033541204,0.13893196479955727
Exclude_Best_Regime,0.75,20,-0.1528140352659707,-0.049626498546918474,-0.35699957260773296,-0.3244819576307107,-0.25493585932570306,0.5,0.6877166427342019,16,0.41875,-0.3124085033541204,0.1595944680881497
Exclude_Best_Regime,0.8,5,-0.21130527140125577,-0.07026758145270406,-0.7474653862137559,-0.4552318948376367,-0.315040931383447,0.47058823529411764,0.6233988273120525,34,0.25375,-0.3124085033541204,0.10110323195286464
Exclude_Best_Regime,0.8,10,-0.2557103026414975,-0.08665802199585182,-0.8147485689188323,-0.5793636134797683,-0.3508245452153548,0.45454545454545453,0.4849312688249653,22,0.30125,-0.3124085033541204,0.05669820071262288
Exclude_Best_Regime,0.8,15,-0.2699985328323615,-0.0920758369712209,-0.7578687058221287,-0.5751923303816421,-0.34370935414379433,0.4444444444444444,0.42905448657010703,18,0.3575,-0.3124085033541204,0.04240997052175888
Exclude_Best_Regime,0.8,20,-0.19858651366813385,-0.0656911687205054,-0.5236815102169621,-0.42337401430161475,-0.28136043088133245,0.5714285714285714,0.5577047246519542,14,0.36625,-0.3124085033541204,0.11382198968598656
Only_Downtrend,0.6,5,-0.38515905116772253,-0.13868030975676615,-1.212458320495921,-0.8674471630744237,-0.41104370779457067,0.3541666666666667,0.41022150658890527,48,0.3525,-0.3124085033541204,-0.07275054781360213
Only_Downtrend,0.6,10,-0.42107350015882006,-0.15444599500018608,-1.3010133399608368,-0.9720898641175348,-0.4381214761166893,0.4444444444444444,0.35661065178939194,27,0.35625,-0.3124085033541204,-0.10866499680469965
