Model,Fold,Date,Actual,Probability,Prediction,Close,Return_1D,Trend_Return_20D,Trend_Return_60D,Volatility_20D,Volatility_Median,Forward_Return_10D,Signal,Regime
XGBoost,4,2024-09-18,0,0.236836165189743,0,4346.14990234375,-0.03539999854783016,-0.04511701585329009,0.13868943794374333,0.16011895833482834,0.17650871150337205,-0.02609203660522541,0,Weak_Downtrend
XGBoost,4,2024-09-19,0,0.1933979839086532,0,4296.14990234375,-0.011504435218177012,-0.045724144303920466,0.11924082819736648,0.16058283493002645,0.17650001730351278,-0.01021842890533231,0,Weak_Downtrend
XGBoost,4,2024-09-20,0,0.1933979839086532,0,4284.89990234375,-0.0026186237109330213,-0.040099465470992524,0.11127242860097053,0.1589337909874624,0.17629160569353075,-0.002812155467367905,0,Weak_Downtrend
XGBoost,5,2024-09-23,0,0.2365657389163971,0,4268.5,-0.003827371167942517,-0.0519606403544598,0.08498661869926782,0.1539551135896734,0.17608319408354875,-0.0035726836125102857,0,Strong_Downtrend_LowVol
XGBoost,5,2024-09-24,0,0.2511974573135376,0,4271.2998046875,0.0006559223819841975,-0.05022071813495588,0.09404093375701117,0.15431990059165165,0.17598395460759586,-0.004296024679621535,0,Strong_Downtrend_LowVol
XGBoost,5,2024-09-25,0,0.2854065299034118,0,4274.75,0.0008077623838798065,-0.05133094721831222,0.07454377670000456,0.15392175238396286,0.17588471513164297,-0.011076693995262898,0,Strong_Downtrend_LowVol
XGBoost,5,2024-09-26,0,0.3754554092884063,0,4292.5,0.004152289607579407,-0.04860583673496777,0.06847715048127445,0.1552121189528612,0.17575413280273794,-0.033383763468258554,0,Weak_Downtrend
XGBoost,5,2024-09-27,0,0.3710492253303528,0,4308.7001953125,0.003774069962143356,-0.05381274876475428,0.08661501678645744,0.15084769033112394,0.17562355047383288,-0.03993090379226805,0,Strong_Downtrend_LowVol
XGBoost,5,2024-09-30,0,0.3588312566280365,0,4268.5,-0.009330005219725934,-0.05586087647732885,0.0615650659257716,0.15188026199481144,0.17555366085560717,-0.03553946241361139,0,Strong_Downtrend_LowVol
XGBoost,5,2024-10-01,0,0.384001225233078,0,4287.89990234375,0.004544899225430443,-0.04974130784512509,0.06882193782221924,0.15410918222584974,0.17548377123738146,-0.04499870695824992,0,Weak_Downtrend
XGBoost,5,2024-10-03,0,0.6041865348815918,1,4232.75,-0.01286175134676193,-0.05503153429703633,0.05998949508096252,0.1576164148362669,0.17541700551017725,-0.029236312090248684,0,Strong_Downtrend_LowVol
XGBoost,5,2024-10-04,0,0.58246910572052,1,4252.25,0.004606934026342158,-0.049978258369982154,0.06693012169113044,0.15966266849816468,0.175350239782973,-0.030383960329825377,0,Weak_Downtrend
XGBoost,5,2024-10-07,0,0.3540689051151275,0,4272.85009765625,0.00484451705714628,-0.04126323045801317,0.09303818078054293,0.16159391301013631,0.1747488325364029,-0.04516891432860348,0,Weak_Downtrend
XGBoost,5,2024-10-08,0,0.58246910572052,1,4253.25,-0.004587125035582451,-0.04411677884371645,0.08398961514111192,0.1618308651709638,0.17414742528983276,-0.05589843061188504,0,Weak_Downtrend
XGBoost,5,2024-10-09,0,0.2640060484409332,0,4252.9501953125,-7.048837653556017e-05,-0.056545780543208246,0.016491592102913843,0.15174754698938864,0.17410436880783026,-0.04389898464324282,0,Strong_Downtrend_LowVol
XGBoost,5,2024-10-10,0,0.4729017913341522,0,4227.39990234375,-0.006007663338477576,-0.05624704249938606,0.013959441692602104,0.1516564709488463,0.17406131232582778,-0.042461088173958106,0,Strong_Downtrend_LowVol
XGBoost,5,2024-10-11,0,0.7608885765075684,1,4149.2001953125,-0.01849829891605348,-0.08156805101461806,-0.007000203097505708,0.15503971688379342,0.1739371675774423,-0.022088629656364933,1,Strong_Downtrend_LowVol
