Date,Strategy,Equity,Daily_Return,Position,Probability,Regime
2025-09-15,Baseline_XGB_0.70,88414.98530818915,-0.007485357344501065,1.0,0.9638316035270692,Weak_Downtrend
2025-09-16,Baseline_XGB_0.70,89463.27269954915,0.01185644478372061,1.0,0.956531822681427,Weak_Uptrend
2025-09-17,Baseline_XGB_0.70,90303.76529238925,0.009394833963460858,1.0,0.937637746334076,Strong_Uptrend_LowVol
2025-09-18,Baseline_XGB_0.70,90424.71832637086,0.0013394018908290395,1.0,0.9417906999588012,Strong_Uptrend_LowVol
2025-09-19,Baseline_XGB_0.70,90192.11051343013,-0.0025723918995376183,1.0,0.942858338356018,Strong_Uptrend_LowVol
2025-09-22,Baseline_XGB_0.70,87233.34216157156,-0.03280517924478543,1.0,0.9547319412231444,Weak_Downtrend
2025-09-23,Baseline_XGB_0.70,86879.77374278031,-0.0040531339282677825,1.0,0.9566178917884828,Strong_Downtrend_LowVol
2025-09-24,Baseline_XGB_0.70,86042.38561619367,-0.009638470388583675,1.0,0.9583116769790648,Strong_Downtrend_LowVol
2025-09-25,Baseline_XGB_0.70,83623.26436161004,-0.02811546004052612,1.0,0.9579023718833924,Strong_Downtrend_LowVol
2025-09-26,Baseline_XGB_0.70,81815.13235317921,-0.021622356197576353,1.0,0.9653401374816896,Strong_Downtrend_LowVol
2025-09-29,Baseline_XGB_0.70,81722.08922800292,-0.0011372361383544805,1.0,0.962936282157898,Strong_Downtrend_LowVol
2025-09-30,Baseline_XGB_0.70,81483.2724825553,-0.00292230347637501,1.0,0.962936282157898,Strong_Downtrend_LowVol
2025-10-01,Baseline_XGB_0.70,82283.4448734452,0.009820081674569492,1.0,0.962936282157898,Strong_Downtrend_LowVol
2025-10-03,Baseline_XGB_0.70,81901.96654584861,-0.004636149205752282,1.0,0.962936282157898,Strong_Downtrend_LowVol
2025-10-06,Baseline_XGB_0.70,84584.70998843174,0.03275554367893396,1.0,0.968123733997345,Strong_Downtrend_HighVol
2025-10-07,Baseline_XGB_0.70,84128.8001894417,-0.005389978863229561,1.0,0.9727320671081544,Strong_Downtrend_HighVol
2025-10-08,Baseline_XGB_0.70,85788.06925508557,0.019722961244039272,1.0,0.9827795028686525,Weak_Downtrend
2025-10-09,Baseline_XGB_0.70,86858.06519461297,0.012472549491070017,1.0,0.9763903617858888,Weak_Uptrend
2025-10-10,Baseline_XGB_0.70,85822.18809639779,-0.011926089947942087,1.0,0.977544903755188,Weak_Downtrend
2025-10-13,Baseline_XGB_0.70,85167.7817539103,-0.007625141667938373,1.0,0.9746813774108888,Strong_Downtrend_HighVol
2025-10-14,Baseline_XGB_0.70,83713.2105924018,-0.01707888982844996,1.0,0.9604268074035645,Strong_Downtrend_HighVol
2025-10-15,Baseline_XGB_0.70,84007.84715546007,0.0035195945893515823,1.0,0.9647738337516784,Strong_Downtrend_HighVol
2025-10-16,Baseline_XGB_0.70,84035.7570642654,0.00033222978269731307,1.0,0.9654051661491394,Strong_Downtrend_HighVol
2025-10-17,Baseline_XGB_0.70,83772.13487626589,-0.00313702401464544,1.0,0.9611329436302184,Strong_Downtrend_HighVol
2025-10-20,Baseline_XGB_0.70,85415.8967543804,0.019621821510725557,1.0,0.9703359007835388,Weak_Downtrend
2025-10-21,Baseline_XGB_0.70,85152.2745663809,-0.003086336361456943,1.0,0.9728695750236512,Weak_Downtrend
2025-10-23,Baseline_XGB_0.70,87214.73050778874,0.024220796824400148,1.0,0.9475018382072448,Weak_Uptrend
2025-10-24,Baseline_XGB_0.70,86904.5867572011,-0.0035560936642455854,1.0,0.9506400227546692,Weak_Uptrend
2025-10-27,Baseline_XGB_0.70,87577.59718160251,0.00774424514878258,1.0,0.9327623844146729,Weak_Uptrend
